,level_0,accX,accY,accZ,timestamp,Norm,label
0,0,0.03,0.0,-0.97,2024-03-22 15:59:41.181,0.9704638066409277,0
1,1,0.02,0.05,-0.94,2024-03-22 15:59:41.197,0.9415412895885129,0
2,2,-0.02,0.01,-1.0,2024-03-22 15:59:41.201,1.0002499687578101,0
3,3,-0.05,0.01,-0.99,2024-03-22 15:59:41.202,0.9913122616007531,0
4,4,0.01,0.02,-1.01,2024-03-22 15:59:41.249,1.010247494428964,0
5,5,-0.02,0.01,-0.96,2024-03-22 15:59:41.253,0.9602603813549739,0
6,6,-0.03,0.01,-1.01,2024-03-22 15:59:41.257,1.0104949282406122,0
7,7,0.04,0.04,-1.0,2024-03-22 15:59:41.292,1.001598722043913,0
8,8,0.04,0.01,-0.93,2024-03-22 15:59:41.297,0.9309135298189624,0
9,9,-0.05,0.01,-0.92,2024-03-22 15:59:41.301,0.9214119599831555,0
10,10,-0.06,0.08,-0.98,2024-03-22 15:59:41.336,0.9850888284819801,0
11,11,-0.06,-0.0,-0.99,2024-03-22 15:59:41.340,0.9918165152889924,0
12,12,-0.02,0.02,-0.98,2024-03-22 15:59:41.344,0.9804080783020915,0
13,13,-0.07,-0.02,-0.98,2024-03-22 15:59:41.389,0.982700361249552,0
14,14,0.03,0.01,-0.97,2024-03-22 15:59:41.392,0.9705153270299238,0
15,15,-0.02,0.03,-1.05,2024-03-22 15:59:41.397,1.0506188652408637,0
16,16,-0.01,0.02,-0.97,2024-03-22 15:59:41.429,0.9702576977277737,0
17,17,-0.03,0.0,-0.99,2024-03-22 15:59:41.433,0.9904544411531506,0
18,18,-0.02,0.02,-0.96,2024-03-22 15:59:41.437,0.9604165762834376,0
19,19,-0.03,0.03,-0.98,2024-03-22 15:59:41.474,0.9809179374443103,0
20,20,-0.02,0.03,-0.99,2024-03-22 15:59:41.480,0.9906563480844404,0
21,21,0.01,0.04,-0.96,2024-03-22 15:59:41.485,0.9608850087289321,0
22,22,-0.06,0.04,-0.98,2024-03-22 15:59:41.520,0.9826494797230597,0
23,23,-0.02,0.05,-0.97,2024-03-22 15:59:41.524,0.9714936952960631,0
24,24,0.02,0.06,-0.98,2024-03-22 15:59:41.529,0.9820386957752734,0
25,25,-0.05,-0.12,-1.02,2024-03-22 15:59:41.561,1.0282509421342632,0
26,26,-0.05,0.01,-1.01,2024-03-22 15:59:41.565,1.0112863096077194,0
27,27,-0.1,-0.0,-0.95,2024-03-22 15:59:41.569,0.95524865872714,0
28,28,0.05,-0.01,-0.96,2024-03-22 15:59:41.605,0.9613532129243653,0
29,29,0.08,0.03,-0.97,2024-03-22 15:59:41.609,0.973755616158387,0
30,30,-0.06,0.07,-1.0,2024-03-22 15:59:41.613,1.0042410069301093,0
31,31,-0.02,0.01,-0.97,2024-03-22 15:59:41.655,0.9702576977277737,0
32,32,-0.02,0.01,-1.0,2024-03-22 15:59:41.658,1.0002499687578101,0
33,33,-0.02,0.0,-0.99,2024-03-22 15:59:41.662,0.9902019995940222,0
34,34,-0.02,0.01,-0.98,2024-03-22 15:59:41.699,0.9802550688468792,0
35,35,-0.01,0.01,-0.98,2024-03-22 15:59:41.703,0.9801020355044672,0
36,36,-0.01,0.01,-1.12,2024-03-22 15:59:41.743,1.1200892821556683,0
37,37,-0.01,0.02,-0.98,2024-03-22 15:59:41.747,0.9802550688468792,0
38,38,-0.01,0.01,-0.98,2024-03-22 15:59:41.752,0.9801020355044672,0
39,39,-0.02,0.01,-1.0,2024-03-22 15:59:41.793,1.0002499687578101,0
40,40,-0.02,-0.0,-1.01,2024-03-22 15:59:41.796,1.010198000393982,0
41,41,-0.0,-0.02,-0.97,2024-03-22 15:59:41.800,0.9702061636580134,0
42,42,0.01,0.06,-0.96,2024-03-22 15:59:41.836,0.9619251530134764,0
43,43,0.05,-0.0,-0.99,2024-03-22 15:59:41.840,0.9912618221237011,0
44,44,0.01,0.23,-0.84,2024-03-22 15:59:41.843,0.870976463516667,0
45,45,0.05,-0.35,-1.02,2024-03-22 15:59:41.878,1.0795369377654476,0
46,46,-0.05,-0.08,-0.92,2024-03-22 15:59:41.882,0.924824307639024,0
47,47,-0.07,0.05,-0.99,2024-03-22 15:59:41.886,0.9937303457175894,0
48,48,-0.03,0.11,-0.92,2024-03-22 15:59:41.929,0.9270382947861432,0
49,49,-0.13,-0.05,-0.99,2024-03-22 15:59:41.932,0.999749968742185,0
