id,accX,accY,accZ,gyroX,gyroY,gyroZ,timestamp
00040be8-bc1b-496e-964c-3aff598c6be5,-0.02,-0.08,0.02,,,,2024-03-22 16:05:02.991
0006f0cc-c14b-4ab2-896b-4da7d83d6f68,0.1,1.1,0.05,,,,2024-03-22 16:03:28.815
0009c6ea-8fa1-427e-80b1-c409f8caa90b,-0.56,0.52,0.74,,,,2024-03-22 16:05:55.297
000a379b-41a3-4d6b-83b2-d3efe3e1cffa,2.08,1.39,1.41,,,,2024-03-22 16:03:44.125
000d2987-9485-4328-b792-6a1a64151914,0.73,1.63,-2.23,,,,2024-03-22 16:03:48.974
000e169c-e24a-4cd1-9019-8e7c151e3298,-0.31,0.73,-0.38,,,,2024-03-22 16:01:04.460
0011692f-7233-43da-9e71-4df682b918ca,0.75,0.17,-1.27,,,,2024-03-22 16:03:14.050
0011e16b-133b-4f19-9482-abf42a82676c,0.13,0.87,0.54,,,,2024-03-22 16:01:00.636
0012c28e-d56b-486c-8da0-546703553ed4,1.06,2.39,-0.08,,,,2024-03-22 16:00:50.463
00130a2c-587f-47ca-80ab-8fa4721e0a43,-0.78,0.63,0.26,,,,2024-03-22 16:04:02.968
0015ebcd-957a-420f-b6c3-d19c3066ab7e,0.67,0.21,-0.27,,,,2024-03-22 16:04:54.052
0016d38c-19d2-4199-aa67-314599cfc4d1,-0.0,0.57,-0.01,,,,2024-03-22 16:02:29.055
001917a5-1ff1-42ec-bdce-9d27a3768b90,-0.85,-0.56,0.47,,,,2024-03-22 16:05:11.284
001d9ab1-b8b1-4a10-8d85-b00d02fd9a3c,-0.38,1.03,-0.09,,,,2024-03-22 16:00:29.308
001f0a82-b4ed-4126-b39e-5c466d326036,-0.04,6.41,0.17,,,,2024-03-22 16:05:31.972
002027d0-4910-4fa9-ae0f-6bc6a6d42a11,0.76,0.57,0.09,,,,2024-03-22 16:04:33.532
0024ba13-3646-477e-8190-3f15252d6ffb,-0.1,0.08,1.05,,,,2024-03-22 16:05:01.976
0031efd9-17b9-43f1-8f0e-94e90e55132f,0.45,-1.58,1.15,,,,2024-03-22 16:01:47.650
00340769-3e87-47d2-893e-7dee2cdee452,0.26,0.33,0.71,,,,2024-03-22 16:04:41.359
0038366d-e79c-4491-a960-fb9ec7e208d3,-6.21,-12.93,3.4,,,,2024-03-22 16:01:43.650
003b9783-e22b-4496-aaea-69d3cb1dcc5e,0.03,0.91,-0.15,,,,2024-03-22 16:00:26.521
00404a33-2377-4971-ae1f-8747864ff4cf,-0.03,4.13,0.38,,,,2024-03-22 16:01:59.269
00444bb3-7af5-46c3-b455-93611a7c5a0d,-1.02,0.1,0.53,,,,2024-03-22 16:04:00.626
004b3f30-484c-4b9f-bf92-e0dd7289f9d6,-0.05,1.26,0.05,,,,2024-03-22 16:03:31.835
0051e2fa-1b25-4240-810a-be37e5bdce67,0.21,1.1,-0.28,,,,2024-03-22 16:00:35.612
005e96f2-2bdd-4888-bf4d-04cbae22b833,0.07,-0.04,1.02,,,,2024-03-22 16:00:59.606
006002aa-803b-4cdb-93d2-4f1095f7b79c,-0.51,1.29,-0.03,,,,2024-03-22 16:01:07.520
00628539-e7d8-4cf4-ba83-d53be8857530,-0.44,0.16,-0.9,,,,2024-03-22 16:01:03.603
006f19c8-1012-4733-9bc6-4b86818cbd91,0.1,0.78,-0.01,,,,2024-03-22 16:00:26.704
0073402d-1264-42b8-8afc-d3f93c84fb99,0.25,-0.02,0.63,,,,2024-03-22 16:00:43.132
0073cb6e-759e-449c-9f5d-676cde043c29,-0.1,1.13,1.35,,,,2024-03-22 16:05:19.974
0075e5a7-8865-455a-b260-d9b81b224152,0.74,-0.52,-0.43,,,,2024-03-22 16:03:02.809
0076a085-c274-4485-9c17-5dbab08fcbab,0.41,1.82,4.12,,,,2024-03-22 16:04:25.694
0076e42f-38b3-476e-b9b7-487640432ced,0.69,0.26,0.62,,,,2024-03-22 16:00:46.866
00777b76-f94f-4910-aa9f-6c4375037395,0.2,0.53,0.32,,,,2024-03-22 16:04:58.508
00786616-1f96-456f-9bc2-accd56adfb06,-1.45,-0.24,-0.28,,,,2024-03-22 16:06:03.615
0078eccc-4a01-4386-87ee-a22fde006499,1.2,-0.07,-0.11,,,,2024-03-22 16:01:26.099
008241e7-c262-45da-81d3-521dc8d0c0fe,-0.81,-0.43,-0.15,,,,2024-03-22 16:06:01.420
0086c2d4-8dce-43df-9530-a9324e504f91,-0.03,0.09,-0.95,,,,2024-03-22 16:01:36.360
008bc7b6-894c-4f74-aaa4-3d3f00f3c260,-0.79,0.59,0.24,,,,2024-03-22 16:04:02.752
008e0149-e09d-4139-bad6-89047bd94b07,0.37,1.81,0.1,,,,2024-03-22 16:01:41.404
008e2a97-6783-4583-910c-23563c918594,0.26,0.35,-0.12,,,,2024-03-22 16:00:15.229
008f8e6a-de2e-4e49-bb01-efcd328b44cc,-0.71,0.39,2.21,,,,2024-03-22 16:01:40.725
0091f4a4-08b0-4eeb-b777-093e2f9579f3,0.18,0.88,-0.48,,,,2024-03-22 16:00:36.550
